Site,Year,SiteYear,Position,Winglength,Mag,Winglength_2,Sex,AdultMass,Notes
NoOil,2017,NoOil2017,1C,8.7,2x,4.35,M,0.3,
NoOil,2017,NoOil2017,2C,7,2x,3.5,F,0.44,
NoOil,2017,NoOil2017,3C,9,2x,4.5,F,0.53,
NoOil,2017,NoOil2017,4C,8.2,2x,4.1,F,0.62,
NoOil,2017,NoOil2017,1D,10.3,2x,5.15,F,1.23,
NoOil,2017,NoOil2017,2D,9.9,2x,4.95,M,0.81,
NoOil,2017,NoOil2017,3D,7.8,2x,3.9,F,0.43,
NoOil,2017,NoOil2017,4D,8,2x,4,F,0.37,
NoOil,2017,NoOil2017,1E,8.5,2x,4.25,F,0.48,
NoOil,2017,NoOil2017,2E,9,2x,4.5,F,0.56,
NoOil,2017,NoOil2017,3E,9.2,2x,4.6,M,0.42,
NoOil,2017,NoOil2017,4E,8.3,2x,4.15,F,0.53,
Vulgaris road,2017,Vulgaris road2017,1A,10.2,2x,5.1,F,0.88,
Vulgaris road,2017,Vulgaris road2017,2A,10,2x,5,F,0.87,
Vulgaris road,2017,Vulgaris road2017,3A,9.8,2x,4.9,M,1.04,
Vulgaris road,2017,Vulgaris road2017,4A,10,2x,5,M,0.87,
Vulgaris road,2017,Vulgaris road2017,1B,10.2,2x,5.1,M,0.95,
Vulgaris road,2017,Vulgaris road2017,2B,8.4,2x,4.2,F,0.78,
Vulgaris road,2017,Vulgaris road2017,3B,9.3,2x,4.65,M,0.72,
Vulgaris road,2017,Vulgaris road2017,4B,9.2,2x,4.6,F,0.94,
Vulgaris road,2017,Vulgaris road2017,1C,10.1,2x,5.05,F,1.24,
Vulgaris road,2017,Vulgaris road2017,2C,10,2x,5,F,1.08,
Vulgaris road,2017,Vulgaris road2017,3C,9.5,2x,4.75,F,0.94,
Vulgaris road,2017,Vulgaris road2017,4C,10.4,2x,5.2,F,1.7,
Vulgaris road,2017,Vulgaris road2017,1D,9.9,2x,4.95,M,0.78,
Vulgaris road,2017,Vulgaris road2017,2D,10,2x,5,F,0.99,
Vulgaris road,2017,Vulgaris road2017,3D,9.8,2x,4.9,F,0.93,
Vulgaris road,2017,Vulgaris road2017,4D,8.3,2x,4.15,F,0.78,
Vulgaris road,2017,Vulgaris road2017,1E,8.5,2x,4.25,F,0.73,
Vulgaris road,2017,Vulgaris road2017,2E,10,2x,5,M,0.99,
Vulgaris road,2017,Vulgaris road2017,3E,10.1,2x,5.05,F,1.26,
Vulgaris road,2017,Vulgaris road2017,4E,9.5,2x,4.75,F,1,
Vulgaris road,2017,Vulgaris road2017,1F,9.9,2x,4.95,M,0.86,
Vulgaris road,2017,Vulgaris road2017,2F,9.9,2x,4.95,M,1.01,
Vulgaris road,2017,Vulgaris road2017,3F,9.1,2x,4.55,M,0.68,
Vulgaris road,2017,Vulgaris road2017,4F,9.8,2x,4.9,M,1.3,
JuncusTown,2017,JuncusTown2017,1A,8.7,2x,4.35,M,0.59,
JuncusTown,2017,JuncusTown2017,2A,8.5,2x,4.25,F,0.7,
JuncusTown,2017,JuncusTown2017,3A,9.2,2x,4.6,F,0.85,
JuncusTown,2017,JuncusTown2017,4A,9,2x,4.5,M,0.76,
JuncusTown,2017,JuncusTown2017,1B,8.9,2x,4.45,M,1,
JuncusTown,2017,JuncusTown2017,2B,8.6,2x,4.3,F,0.75,
JuncusTown,2017,JuncusTown2017,3B,8.6,2x,4.3,M,0.55,
JuncusTown,2017,JuncusTown2017,4B,9.2,2x,4.6,F,0.73,
JuncusTown,2017,JuncusTown2017,1C,9,2x,4.5,F,0.63,
JuncusTown,2017,JuncusTown2017,2C,8.6,2x,4.3,F,1.04,
JuncusTown,2017,JuncusTown2017,3C,8.1,2x,4.05,F,0.53,
JuncusTown,2017,JuncusTown2017,4C,9,2x,4.5,M,0.77,
JuncusTown,2017,JuncusTown2017,1D,8.9,2x,4.45,M,0.68,
JuncusTown,2017,JuncusTown2017,2D,9.5,2x,4.75,F,0.55,
JuncusTown,2017,JuncusTown2017,3D,9,2x,4.5,M,0.56,
JuncusTown,2017,JuncusTown2017,4D,9.5,2x,4.75,M,0.63,
JuncusTown,2017,JuncusTown2017,1E,9,2x,4.5,F,0.96,
JuncusTown,2017,JuncusTown2017,2E,8.5,2x,4.25,F,0.59,
JuncusTown,2017,JuncusTown2017,3E,8.5,2x,4.25,F,0.69,
JuncusTown,2017,JuncusTown2017,4E,9.8,2x,4.9,M,0.5,
JuncusTown,2017,JuncusTown2017,1F,9.8,2x,4.9,M,0.64,
JuncusTown,2017,JuncusTown2017,2F,9.2,2x,4.6,M,0.75,
JuncusTown,2017,JuncusTown2017,3F,7.5,2x,3.75,F,0.51,
JuncusTown,2017,JuncusTown2017,4F,9.6,2x,4.8,M,0.65,
Mozvalley,2017,Mozvalley2017,1A,9.6,2x,4.8,F,0.96,
Mozvalley,2017,Mozvalley2017,2A,9.7,2x,4.85,F,0.73,
Mozvalley,2017,Mozvalley2017,3A,9,2x,4.5,F,0.56,
Mozvalley,2017,Mozvalley2017,4A,9.8,2x,4.9,F,0.86,
Mozvalley,2017,Mozvalley2017,1B,9.6,2x,4.8,M,0.83,
Mozvalley,2017,Mozvalley2017,2B,9.2,2x,4.6,F,1.31,
Mozvalley,2017,Mozvalley2017,3B,9.8,2x,4.9,M,0.82,
Mozvalley,2017,Mozvalley2017,4B,9.8,2x,4.9,M,0.67,
Mozvalley,2017,Mozvalley2017,1C,9.5,2x,4.75,M,0.6,
Mozvalley,2017,Mozvalley2017,2C,10,2x,5,M,0.77,
Mozvalley,2017,Mozvalley2017,3C,10,2x,5,M,0.81,
Mozvalley,2017,Mozvalley2017,4C,10,2x,5,M,0.69,
Mozvalley,2017,Mozvalley2017,1D,10.1,2x,5.05,F,0.77,
Mozvalley,2017,Mozvalley2017,2D,10.2,2x,5.1,F,1.12,
Mozvalley,2017,Mozvalley2017,3D,9.4,2x,4.7,M,0.62,
Mozvalley,2017,Mozvalley2017,4D,10.3,2x,5.15,F,1.38,
Mozvalley,2017,Mozvalley2017,1E,10.3,2x,5.15,F,0.92,
Mozvalley,2017,Mozvalley2017,2E,9.4,2x,4.7,M,0.63,
Mozvalley,2017,Mozvalley2017,3E,9.6,2x,4.8,F,0.99,
Mozvalley,2017,Mozvalley2017,4E,10,2x,5,M,0.63,
Mozvalley,2017,Mozvalley2017,1F,9.9,2x,4.95,M,0.78,
Mozvalley,2017,Mozvalley2017,2F,9.6,2x,4.8,M,0.72,
Mozvalley,2017,Mozvalley2017,3F,9.6,2x,4.8,F,0.68,
Mozvalley,2017,Mozvalley2017,4F,10.1,2x,5.05,M,0.79,
Ice,2017,Ice2017,1A,10.4,2x,5.2,F,1.35,
Ice,2017,Ice2017,2A,11.2,2x,5.6,F,2.53,
Ice,2017,Ice2017,3A,10.7,2x,5.35,F,1.52,
Ice,2017,Ice2017,4A,10.4,2x,5.2,F,2.38,
Ice,2017,Ice2017,1B,11.8,2x,5.9,F,2.36,
Ice,2017,Ice2017,2B,10.3,2x,5.15,M,2.56,
Ice,2017,Ice2017,3B,10.5,2x,5.25,M,1.37,
Ice,2017,Ice2017,4B,10.8,2x,5.4,F,1.44,
Ice,2017,Ice2017,1C,10.6,2x,5.3,M,1.34,
Ice,2017,Ice2017,2C,10.4,2x,5.2,M,1.17,
Ice,2017,Ice2017,3C,10.3,2x,5.15,M,1.01,
Ice,2017,Ice2017,4C,11,2x,5.5,M,2.05,
Ice,2017,Ice2017,1D,10.4,2x,5.2,M,1.85,
Ice,2017,Ice2017,2D,10.3,2x,5.15,M,1.78,
Ice,2017,Ice2017,3D,10.6,2x,5.3,F,1.47,
Ice,2017,Ice2017,4D,10.5,2x,5.25,F,1.62,
Ice,2017,Ice2017,1E,10.7,2x,5.35,F,2.3,
Ice,2017,Ice2017,2E,10.7,2x,5.35,F,1.62,
Ice,2017,Ice2017,3E,10.8,2x,5.4,F,1.7,
Ice,2017,Ice2017,4E,10.9,2x,5.45,F,1.37,
Ice,2017,Ice2017,1F,10.9,2x,5.45,F,1.64,
Ice,2017,Ice2017,2F,11.1,2x,5.55,F,1.35,
Ice,2017,Ice2017,3F,11.2,2x,5.6,F,1.37,
Ice,2017,Ice2017,4F,10.4,2x,5.2,F,1.65,
Target,2017,Target2017,1A,9.5,2x,4.75,F,0.89,
Target,2017,Target2017,2A,10.2,2x,5.1,F,1.31,
Target,2017,Target2017,3A,10.4,2x,5.2,F,1.44,
Target,2017,Target2017,4A,10.6,2x,5.3,M,1.16,
Target,2017,Target2017,1B,10.8,2x,5.4,F,1.39,
Target,2017,Target2017,2B,10.4,2x,5.2,F,1.42,
Target,2017,Target2017,3B,10.6,2x,5.3,M,1.11,
Target,2017,Target2017,4B,10.3,2x,5.15,F,1.17,
Target,2017,Target2017,1C,10.4,2x,5.2,F,1.26,
Target,2017,Target2017,2C,10.9,2x,5.45,M,1.11,
Target,2017,Target2017,3C,10.4,2x,5.2,F,1.31,
Target,2017,Target2017,4C,10.1,2x,5.05,F,1.22,
Target,2017,Target2017,1D,10.6,2x,5.3,M,1.14,
Target,2017,Target2017,2D,9.6,2x,4.8,F,1.54,
Target,2017,Target2017,3D,9.9,2x,4.95,F,1.17,
Target,2017,Target2017,4D,10.4,2x,5.2,F,1.35,
Target,2017,Target2017,1E,10.4,2x,5.2,M,0.83,
Target,2017,Target2017,2E,10.3,2x,5.15,M,0.98,
Target,2017,Target2017,3E,8.2,2x,4.1,F,0.48,
Target,2017,Target2017,4E,10.8,2x,5.4,F,1.34,
Target,2017,Target2017,1F,10.8,2x,5.4,F,1.16,
Target,2017,Target2017,2F,11,2x,5.5,F,1.03,
Target,2017,Target2017,3F,10.3,2x,5.15,F,1.4,
Target,2017,Target2017,4F,11,2x,5.5,M,1.12,
East,2017,East2017,1A,9.3,2x,4.65,M,0.55,
