ID,Site,ClosestWS,Weatherperiod,DateStart,TimeStart,Datetime_Start,DateEnd,TimeEnd,Datetime_End,Totaldays,Totalhours,Count,Count3.5,LnCount3.5
115,Oil,Airport,42,6/29/2017,17:43,6/29/2017 17:43,6/29/2017,20:54,6/29/2017 20:54,0.132638889,3.18,98,107.8616352,4.690077674
116,Golf,Waterfall,42,6/29/2017,17:53,6/29/2017 17:53,6/29/2017,21:03,6/29/2017 21:03,0.131944444,3.17,11,12.14511041,2.576049858
117,Kforest,Waterfall,42,6/29/2017,17:59,6/29/2017 17:59,6/29/2017,21:09,6/29/2017 21:09,0.131944444,3.17,32,35.33123028,3.59267771
118,Waterfall up,Waterfall,42,6/29/2017,18:09,6/29/2017 18:09,6/29/2017,21:18,6/29/2017 21:18,0.13125,3.15,2,2.222222222,1.170071253
119,Waterfall,Waterfall,42,6/29/2017,18:19,6/29/2017 18:19,6/29/2017,21:29,6/29/2017 21:29,0.131944444,3.17,8,8.832807571,2.285724506
120,Seatomato,Waterfall,42,6/29/2017,18:30,6/29/2017 18:30,6/29/2017,21:42,6/29/2017 21:42,0.133333333,3.2,75,82.03125,4.419217043
121,Camp,Waterfall,42,6/29/2017,18:38,6/29/2017 18:38,6/29/2017,21:50,6/29/2017 21:50,0.133333333,3.2,62,67.8125,4.231385414
122,Bunny Hill,Vulgaris,42,6/29/2017,18:52,6/29/2017 18:52,6/29/2017,22:04,6/29/2017 22:04,0.133333333,3.2,38,41.5625,3.750973584
123,VV2,Vulgaris,42,6/29/2017,19:02,6/29/2017 19:02,6/29/2017,22:15,6/29/2017 22:15,0.134027778,3.22,0,0,0
124,VV1,Vulgaris,42,6/29/2017,19:07,6/29/2017 19:07,6/29/2017,22:20,6/29/2017 22:20,0.134027778,3.22,7,7.608695652,2.152772815
125,Moz valley,Vulgaris,42,6/29/2017,19:13,6/29/2017 19:13,6/29/2017,22:24,6/29/2017 22:24,0.132638889,3.18,44,48.42767296,3.900510449
126,Oil,Airport,43,6/30/2017,14:57,6/30/2017 14:57,6/30/2017,20:34,6/30/2017 20:34,0.234027778,5.62,30,18.68327402,2.979769241
127,Moz valley,Vulgaris,44,7/2/2017,17:25,7/2/2017 17:25,7/2/2017,20:52,7/2/2017 20:52,0.14375,3.45,1,1.014492754,0.700367429
128,VV2,Vulgaris,44,7/2/2017,17:32,7/2/2017 17:32,7/2/2017,21:02,7/2/2017 21:02,0.145833333,3.5,0,0,0
129,VV1,Vulgaris,44,7/2/2017,17:38,7/2/2017 17:38,7/2/2017,21:06,7/2/2017 21:06,0.144444444,3.47,0,0,0
130,Bunny Hill,Vulgaris,44,7/2/2017,17:43,7/2/2017 17:43,7/2/2017,21:12,7/2/2017 21:12,0.145138889,3.48,0,0,0
131,Camp,Waterfall,44,7/2/2017,18:04,7/2/2017 18:04,7/2/2017,21:26,7/2/2017 21:26,0.140277778,3.37,0,0,0
132,Seatomato,Waterfall,44,7/2/2017,18:10,7/2/2017 18:10,7/2/2017,21:36,7/2/2017 21:36,0.143055556,3.43,0,0,0
133,Waterfall,Waterfall,44,7/2/2017,18:21,7/2/2017 18:21,7/2/2017,21:48,7/2/2017 21:48,0.14375,3.45,0,0,0
134,Waterfall up,Waterfall,44,7/2/2017,18:32,7/2/2017 18:32,7/2/2017,22:00,7/2/2017 22:00,0.144444444,3.47,0,0,0
135,Kforest,Waterfall,44,7/2/2017,18:43,7/2/2017 18:43,7/2/2017,22:11,7/2/2017 22:11,0.144444444,3.47,0,0,0
136,Golf,Waterfall,44,7/2/2017,18:49,7/2/2017 18:49,7/2/2017,22:17,7/2/2017 22:17,0.144444444,3.47,0,0,0
137,Oil,Airport,44,7/2/2017,18:57,7/2/2017 18:57,7/2/2017,22:25,7/2/2017 22:25,0.144444444,3.47,0,0,0
138,KISS,Airport,44,7/2/2017,19:03,7/2/2017 19:03,7/2/2017,22:31,7/2/2017 22:31,0.144444444,3.47,0,0,0
139,KISS,Airport,45,7/3/2017,17:53,7/3/2017 17:53,7/3/2017,21:08,7/3/2017 21:08,0.135416667,3.25,0,0,0
140,Oil,Airport,45,7/3/2017,18:00,7/3/2017 18:00,7/3/2017,21:16,7/3/2017 21:16,0.136111111,3.27,0,0,0
141,Golf,Waterfall,45,7/3/2017,18:08,7/3/2017 18:08,7/3/2017,21:26,7/3/2017 21:26,0.1375,3.3,0,0,0
