Date,Day,Site,Year,SiteYear,Sample,Mass,Stage
21-May-12,21-May-17,Black,2012,Black2012,23,1.674,Larvae
21-May-12,21-May-17,Black,2012,Black2012,24,1.445,Larvae
21-May-12,21-May-17,Black,2012,Black2012,25,1.456,Larvae
21-May-12,21-May-17,Black,2012,Black2012,26,1.656,Larvae
21-May-12,21-May-17,Black,2012,Black2012,27,0.469,Larvae
21-May-12,21-May-17,Black,2012,Black2012,28,1.945,Larvae
21-May-12,21-May-17,Black,2012,Black2012,29,1.415,Larvae
21-May-12,21-May-17,Black,2012,Black2012,30,1.705,Larvae
21-May-12,21-May-17,Black,2012,Black2012,31,1.486,Larvae
21-May-12,21-May-17,Black,2012,Black2012,32,1.432,Larvae
21-May-12,21-May-17,Black,2012,Black2012,33,1.444,Larvae
21-May-12,21-May-17,Black,2012,Black2012,34,0.51,Larvae
21-May-12,21-May-17,Black,2012,Black2012,35,1.679,Larvae
21-May-12,21-May-17,Black,2012,Black2012,36,1.743,Larvae
21-May-12,21-May-17,Black,2012,Black2012,37,1.939,Larvae
21-May-12,21-May-17,Black,2012,Black2012,38,0.778,Larvae
21-May-12,21-May-17,Black,2012,Black2012,39,1.916,Larvae
21-May-12,21-May-17,Black,2012,Black2012,40,1.678,Larvae
21-May-12,21-May-17,Black,2012,Black2012,41,1.674,Larvae
21-May-12,21-May-17,Black,2012,Black2012,42,1.561,Larvae
21-May-12,21-May-17,Black,2012,Black2012,43,1.338,Larvae
21-May-12,21-May-17,Black,2012,Black2012,44,1.608,Larvae
21-May-12,21-May-17,Black,2012,Black2012,45,1.503,Larvae
21-May-12,21-May-17,Black,2012,Black2012,46,1.535,Larvae
21-May-12,21-May-17,Black,2012,Black2012,47,1.212,Larvae
21-May-12,21-May-17,Black,2012,Black2012,48,1.603,Larvae
23-May-16,23-May-17,Black,2016,Black2016(dry),1,0,Larvae
17-May-17,17-May-17,Black,2017,Black2017,1,0.37,Larvae
17-May-17,17-May-17,Black,2017,Black2017,1,0.39,Larvae
17-May-17,17-May-17,Black,2017,Black2017,2,0.39,Larvae
17-May-17,17-May-17,Black,2017,Black2017,2,0.47,Larvae
17-May-17,17-May-17,Black,2017,Black2017,3,0.27,Larvae
17-May-17,17-May-17,Black,2017,Black2017,3,0.33,Larvae
17-May-17,17-May-17,Black,2017,Black2017,4,0.41,Larvae
17-May-17,17-May-17,Black,2017,Black2017,4,0.47,Larvae
17-May-17,17-May-17,Black,2017,Black2017,5,0.49,Larvae
17-May-17,17-May-17,Black,2017,Black2017,5,0.99,Larvae
17-May-17,17-May-17,Black,2017,Black2017,6,0.3,Larvae
17-May-17,17-May-17,Black,2017,Black2017,6,0.41,Larvae
17-May-17,17-May-17,Black,2017,Black2017,7,0.27,Larvae
17-May-17,17-May-17,Black,2017,Black2017,7,0.32,Larvae
17-May-17,17-May-17,Black,2017,Black2017,8,0.24,Larvae
17-May-17,17-May-17,Black,2017,Black2017,8,0.47,Larvae
17-May-17,17-May-17,Black,2017,Black2017,9,0.12,Larvae
17-May-17,17-May-17,Black,2017,Black2017,9,0.32,Larvae
17-May-17,17-May-17,Black,2017,Black2017,10,0.13,Larvae
17-May-17,17-May-17,Black,2017,Black2017,10,0.52,Larvae
17-May-17,17-May-17,Black,2017,Black2017,11,0.27,Larvae
17-May-17,17-May-17,Black,2017,Black2017,11,0.38,Larvae
17-May-17,17-May-17,Black,2017,Black2017,12,0.13,Larvae
17-May-17,17-May-17,Black,2017,Black2017,12,0.28,Larvae
17-May-17,17-May-17,Black,2017,Black2017,13,0.26,Larvae
17-May-17,17-May-17,Black,2017,Black2017,13,0.73,Larvae
17-May-17,17-May-17,Black,2017,Black2017,14,0.36,Larvae
17-May-17,17-May-17,Black,2017,Black2017,14,0.75,Larvae
17-May-17,17-May-17,Black,2017,Black2017,15,0.27,Larvae
17-May-17,17-May-17,Black,2017,Black2017,15,0.32,Larvae
17-May-17,17-May-17,Black,2017,Black2017,16,0.29,Larvae
17-May-17,17-May-17,Black,2017,Black2017,16,0.6,Larvae
17-May-17,17-May-17,Black,2017,Black2017,17,0.54,Larvae
17-May-17,17-May-17,Black,2017,Black2017,17,0.68,Larvae
17-May-17,17-May-17,Black,2017,Black2017,18,0.37,Larvae
17-May-17,17-May-17,Black,2017,Black2017,18,0.57,Larvae
17-May-17,17-May-17,Black,2017,Black2017,19,0.33,Larvae
17-May-17,17-May-17,Black,2017,Black2017,19,0.37,Larvae
17-May-17,17-May-17,Black,2017,Black2017,20,0.13,Larvae
17-May-17,17-May-17,Black,2017,Black2017,20,0.18,Larvae
17-May-17,17-May-17,Black,2017,Black2017,21,0.18,Larvae
23-May-11,23-May-17,East,2011,East2011,1,0.146,Larvae
23-May-11,23-May-17,East,2011,East2011,2,0.136,Larvae
23-May-11,23-May-17,East,2011,East2011,3,0.039,Larvae
23-May-11,23-May-17,East,2011,East2011,4,0.043,Larvae
23-May-11,23-May-17,East,2011,East2011,5,0.121,Larvae
23-May-11,23-May-17,East,2011,East2011,6,0.147,Larvae
23-May-11,23-May-17,East,2011,East2011,7,0.175,Larvae
23-May-11,23-May-17,East,2011,East2011,8,0.142,Larvae
23-May-11,23-May-17,East,2011,East2011,9,0.177,Larvae
23-May-11,23-May-17,East,2011,East2011,10,0.096,Larvae
23-May-11,23-May-17,East,2011,East2011,11,0.259,Larvae
23-May-11,23-May-17,East,2011,East2011,12,0.065,Larvae
23-May-11,23-May-17,East,2011,East2011,13,0.159,Larvae
23-May-11,23-May-17,East,2011,East2011,14,0.147,Larvae
23-May-11,23-May-17,East,2011,East2011,15,0.16,Larvae
23-May-11,23-May-17,East,2011,East2011,16,0.198,Larvae
23-May-11,23-May-17,East,2011,East2011,17,0.298,Larvae
23-May-11,23-May-17,East,2011,East2011,18,0.154,Larvae
23-May-11,23-May-17,East,2011,East2011,19,0.094,Larvae
23-May-11,23-May-17,East,2011,East2011,20,0.095,Larvae
23-May-11,23-May-17,East,2011,East2011,21,0.101,Larvae
23-May-11,23-May-17,East,2011,East2011,22,0.099,Larvae
23-May-11,23-May-17,East,2011,East2011,23,0.101,Larvae
23-May-11,23-May-17,East,2011,East2011,24,0.266,Larvae
23-May-11,23-May-17,East,2011,East2011,25,0.215,Larvae
23-May-11,23-May-17,East,2011,East2011,26,0.209,Larvae
23-May-11,23-May-17,East,2011,East2011,27,0.15,Larvae
23-May-11,23-May-17,East,2011,East2011,28,0.155,Larvae
23-May-11,23-May-17,East,2011,East2011,29,0.147,Larvae
23-May-11,23-May-17,East,2011,East2011,30,0.166,Larvae
23-May-11,23-May-17,East,2011,East2011,31,0.252,Larvae
