Year,Site,Date,Eggs,Winglength
2012,East,6/25/12,25,
2012,East,6/25/12,32,
2012,Piler,6/25/12,35,
2012,Piler,6/25/12,35,
2012,Piler,6/25/12,35,
2012,Piler,6/25/12,36,
2012,Piler,6/25/12,37,
2012,Piler,6/25/12,37,
2012,Piler,6/25/12,40,
2012,Piler,6/25/12,42,
2012,Piler,6/25/12,43,
2012,Piler,6/25/12,46,
2012,Piler,6/25/12,46,
2012,Piler,6/25/12,47,
2012,Piler,6/25/12,48,
2012,Piler,6/25/12,50,
2012,Piler,6/25/12,56,
2012,Piler,6/25/12,58,
2012,Piler,6/25/12,75,
2012,Piler,6/25/12,7,
2012,Piler,6/25/12,24,
2012,Piler,6/25/12,25,
2012,Piler,6/25/12,27,
2012,Piler,6/25/12,32,
2012,VV1,6/25/12,23,3.28
2012,VV1,6/25/12,52,3.44
2012,VV1,6/25/12,38,3.52
2012,VV1,6/25/12,28,3.60
2012,VV1,6/25/12,41,3.60
2012,VV1,6/25/12,55,3.60
2012,VV1,6/25/12,29,3.68
2012,VV1,6/25/12,31,3.68
2012,VV1,6/25/12,32,3.68
2012,VV1,6/25/12,35,3.68
2012,VV1,6/25/12,53,3.76
2012,VV1,6/25/12,28,3.84
2012,VV1,6/25/12,41,3.92
2012,VV1,6/25/12,28,4.00
2012,VV1,6/25/12,41,4.00
2012,VV1,6/25/12,50,4.00
2012,VV1,6/25/12,61,4.00
2012,VV1,6/25/12,76,4.00
2012,VV1,6/25/12,43,4.08
2012,VV1,6/25/12,64,4.08
2012,VV1,6/25/12,65,4.08
2012,VV1,6/25/12,67,4.08
2012,VV1,6/25/12,47,4.16
2012,VV1,6/25/12,53,4.16
2012,VV1,6/25/12,59,4.16
2012,VV1,6/25/12,60,4.16
2012,VV1,6/25/12,74,4.16
2012,VV1,6/25/12,80,4.16
2012,VV1,6/25/12,35,4.24
2012,VV1,6/25/12,56,4.24
2012,VV1,6/25/12,93,4.24
2012,VV1,6/25/12,119,4.24
2012,VV1,6/25/12,49,4.32
2012,VV1,6/25/12,50,4.32
2012,VV1,6/25/12,60,4.32
2012,VV1,6/25/12,82,4.32
2012,VV1,6/25/12,45,4.40
2012,VV1,6/25/12,49,4.40
2012,VV1,6/25/12,52,4.40
2012,VV1,6/25/12,64,4.40
2012,VV1,6/25/12,66,4.40
2012,VV1,6/25/12,68,4.40
2012,VV1,6/25/12,71,4.40
2012,VV1,6/25/12,51,4.48
2012,VV1,6/25/12,53,4.48
2012,VV1,6/25/12,55,4.48
2012,VV1,6/25/12,62,4.48
2012,VV1,6/25/12,45,4.56
2012,VV1,6/25/12,51,4.56
2012,VV1,6/25/12,76,4.56
2012,VV1,6/25/12,79,4.56
2012,VV1,6/25/12,50,4.64
2012,VV1,6/25/12,53,4.64
2012,VV1,6/25/12,50,4.72
